module,owner,code_path,status,evidence,gate,blockers,ETA
core_ledger,@you,TBD,unknown,,Multi-node (3+) running for 48h with stable block production,,
consensus,@you,TBD,unknown,,Validator join/leave and proposer rotation demonstrated,,
pqc_crypto,@you,TBD,unknown,,>=10k signed tx benchmark w/o exceeding CPU budget; mempool parity,,
tokens_bank,@you,TBD,unknown,,Emission script 7-day dry-run matches expected balances,,
staking,@you,TBD,unknown,,Delegation -> reward accrual -> withdrawal path verified,,
governance,@you,TBD,unknown,,Automated proposal changes live parameter (e.g. gas limit) and takes effect,,
wasm_runtime,@you,TBD,unknown,,Contract deploy+execute+state query+gas accounting reproducible across >=3 nodes,,
ai_oracle,@you,TBD,unknown,,Tx event -> AI service -> score displayed in UI (<1s median),,
wallet_cli,@you,TBD,unknown,,Scripted developer onboarding flow succeeds on multi-node network,,
explorer,@you,TBD,unknown,,Live blocks/tx <2s freshness; governance & contract views functional,,
observability,@you,TBD,unknown,,Dashboards show block time, tx/sec, consensus height; alert on induced slowdown,,
vault_keys,@you,TBD,unknown,,Validator pod restart rehydrates keys from Vault (no raw keys on disk),,
deploy_ci,@you,TBD,unknown,,CI builds & deploys images to staging; rollback demonstrated,,
docs,@you,TBD,unknown,,New engineer launches 3-node devnet from docs in <2h,,
